icd9_code,icd10_code,approximate,no_map,combination,scenario,choice_list
01725,A182,1,0,0,0,0
01726,A182,1,0,0,0,0
01730,A1850,1,0,0,0,0
01730,A1851,1,0,0,0,0
01730,A1852,1,0,0,0,0
01730,A1853,1,0,0,0,0
01730,A1854,1,0,0,0,0
01730,A1859,1,0,0,0,0
01731,A1850,1,0,0,0,0
01731,A1851,1,0,0,0,0
01731,A1852,1,0,0,0,0
01731,A1854,1,0,0,0,0
01731,A1859,1,0,0,0,0
01732,A1850,1,0,0,0,0
01732,A1851,1,0,0,0,0
01732,A1852,1,0,0,0,0
01732,A1854,1,0,0,0,0
01732,A1859,1,0,0,0,0
01733,A1850,1,0,0,0,0
01733,A1851,1,0,0,0,0
01733,A1852,1,0,0,0,0
01733,A1854,1,0,0,0,0
01733,A1859,1,0,0,0,0
01734,A1850,1,0,0,0,0
01734,A1851,1,0,0,0,0
01734,A1852,1,0,0,0,0
01734,A1854,1,0,0,0,0
01734,A1859,1,0,0,0,0
01735,A1850,1,0,0,0,0
01735,A1851,1,0,0,0,0
01735,A1852,1,0,0,0,0
01735,A1854,1,0,0,0,0
01735,A1859,1,0,0,0,0
01736,A1850,1,0,0,0,0
01736,A1851,1,0,0,0,0
01736,A1852,1,0,0,0,0
01736,A1854,1,0,0,0,0
01736,A1859,1,0,0,0,0
01740,A186,1,0,0,0,0
01741,A186,1,0,0,0,0
01742,A186,1,0,0,0,0
01743,A186,1,0,0,0,0
01744,A186,1,0,0,0,0
01745,A186,1,0,0,0,0
01746,A186,1,0,0,0,0
01750,A1881,1,0,0,0,0
01751,A1881,1,0,0,0,0
01752,A1881,1,0,0,0,0
01753,A1881,1,0,0,0,0
01754,A1881,1,0,0,0,0
01755,A1881,1,0,0,0,0
01756,A1881,1,0,0,0,0
01760,A187,1,0,0,0,0
01761,A187,1,0,0,0,0
01762,A187,1,0,0,0,0
01763,A187,1,0,0,0,0
01764,A187,1,0,0,0,0
01765,A187,1,0,0,0,0
01766,A187,1,0,0,0,0
01770,A1885,1,0,0,0,0
01771,A1885,1,0,0,0,0
01772,A1885,1,0,0,0,0
01773,A1885,1,0,0,0,0
01774,A1885,1,0,0,0,0
01775,A1885,1,0,0,0,0
01776,A1885,1,0,0,0,0
01780,A1889,1,0,0,0,0
01781,A1889,1,0,0,0,0
01782,A1889,1,0,0,0,0
01783,A1889,1,0,0,0,0
01784,A1889,1,0,0,0,0
01785,A1889,1,0,0,0,0
01786,A1889,1,0,0,0,0
01790,A1884,1,0,0,0,0
01791,A1884,1,0,0,0,0
01791,A1889,1,0,0,0,0
01792,A1884,1,0,0,0,0
01792,A1889,1,0,0,0,0
01793,A1884,1,0,0,0,0
01793,A1889,1,0,0,0,0
01794,A1884,1,0,0,0,0
01794,A1889,1,0,0,0,0
01795,A1884,1,0,0,0,0
01795,A1889,1,0,0,0,0
01796,A1884,1,0,0,0,0
01796,A1889,1,0,0,0,0
01800,A192,1,0,0,0,0
01801,A192,1,0,0,0,0
01802,A192,1,0,0,0,0
01803,A192,1,0,0,0,0
01804,A192,1,0,0,0,0
01805,A192,1,0,0,0,0
01806,A192,1,0,0,0,0
01880,A198,1,0,0,0,0
01881,A198,1,0,0,0,0
01882,A198,1,0,0,0,0
01883,A198,1,0,0,0,0
01884,A198,1,0,0,0,0
01885,A198,1,0,0,0,0
01886,A198,1,0,0,0,0
01890,A199,1,0,0,0,0
01891,A199,1,0,0,0,0
01892,A199,1,0,0,0,0
01893,A199,1,0,0,0,0
01894,A199,1,0,0,0,0
01895,A199,1,0,0,0,0
01896,A199,1,0,0,0,0
0200,A200,0,0,0,0,0
0201,A201,0,0,0,0,0
0202,A207,0,0,0,0,0
0203,A202,1,0,0,0,0
0204,A202,1,0,0,0,0
0205,A202,1,0,0,0,0
0208,A208,1,0,0,0,0
0209,A209,0,0,0,0,0
0210,A210,0,0,0,0,0
0211,A213,1,0,0,0,0
0212,A212,0,0,0,0,0
0213,A211,0,0,0,0,0
0218,A217,1,0,0,0,0
0218,A218,1,0,0,0,0
0219,A219,0,0,0,0,0
0220,A220,0,0,0,0,0
0221,A221,1,0,0,0,0
0222,A222,0,0,0,0,0
0223,A227,1,0,0,0,0
0228,A228,0,0,0,0,0
0229,A229,0,0,0,0,0
0230,A230,0,0,0,0,0
0231,A231,0,0,0,0,0
0232,A232,0,0,0,0,0
0233,A233,0,0,0,0,0
0238,A238,0,0,0,0,0
0239,A239,0,0,0,0,0
024,A240,0,0,0,0,0
025,A243,1,0,0,0,0
025,A249,1,0,0,0,0
0260,A250,0,0,0,0,0
